text,label
Kannadadalli mado badlu hindinalli madidre superrhit agodhu,1
Rip dislikers,5
Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake,2
ಅದ್ಬುತ ಕಲೆ ಸಾಹಿತ್ಯ ಸಂಗೀತ ಗಾಯನ,0
Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla,0
@Troll Stupid Fans heno helkodthidallla  adunna helkodo munche neenu kaltho henge irbeku antha suvar gandu anthidde ivga ninge baididke thika huritha,2
tippa yappa supper,0
Yar guru ninu.....super,0
@prithvi nayak nimma Amman tulla suledeepa movie yavdu hit aagide helu recent aagi bandidralli,2
Really nyc sakath chenagi madidira nange esta aythu. Super riii adrallu tiktok dattu putra nna sakath roast madi heltini...,0
ಪ್ರೀತಿಗೋಸ್ಕರ ಪ್ರಾಣನೆ ಬಿಡ್ತಾರೆ,4
Thank you so much,5
ದೃಷ್ಟಿ ನನ್ನೋಬ್ಬನ ಮೇಲಿಡಿ ತಪ್ಪದು ನಿಜ ಮನರಂಜನೆ film nodo munchene ee song ista adavaru like madi,0
Indian no.1 bgm,5
ಮೆಲ್ಲನೆ ನಶೆ ಎರಿಸೊ ಹಾಡು,0
Nimm avvan tull ...kannag en tunni itkond nodi en Randi magagna,3
Nice story accting super prajval devraaj,0
Bro sorry ond matu nang eetara troll madodu ella ishta agtirlilla first time nimm videos nodi sakkath kushiaytu nd ur video really give a good msg,0
hindi m bhi daal. do yaaro,5
love you shankar sir ........namage neevu beku sir !!! matte neevu nammanna manaranjane maadi neevu illade iro kannada cinema naanu nodalla sir .....,0
SUPER  R  BOSS,0
ಸಾಹಿತ್ಯ ಓದಿ ಹಾಡು ಕೇಳಿ ಆನಂದಿಸಿ.,0
ಸೂಪರ್ ಗುರು ನಿಜ,0
All industries are going hands up.. 27kke avanu bandaga,0
Hoooo super guru nin voice bhal superrrr,0
Delete hadru nanu downloade made,0
ಹಾ ದೇವರು ಒಳ್ಳೆಯವರಿಗೇ ಯಾವಾಗಲೂ ಕಷ್ಟ ಕೋಡದು ಸರ್ ನಿಮಗೇ ಒಳ್ಳೆದಾಗಲ್ಲಿ... ಸರ್..,0
ನಮ್ಮ ಕಾಮೆಂಟ್ ನೋಡಿ ಓದಿದವರ ಸಮಸ್ಯೆಗಳು ಬೇಗ ಪರಿಹಾರವಾಗಲಿ...ಓಂ ನಮೋ ನಾರಯಣಯ ನಮಃ,0
ನೈಸ್ ಚಿತ್ರ ಅವನೇ ಶ್ರೀ ಮಾನ್ ನಾರಾಯಣ........ ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ.......,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
Malayalis pore,5
Sir ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ  ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ  ಇದೇ ಅಗತ್ತ sir,0
I'm full happy bro 🤣🤣,5
Rakshit shetty superb,0
Darshan Sir swalpa sahaya madidare,0
ಮಸ್ತ್ ಇದೆ ಈ ಹಾಡು,0
Super sir namge thumba istavada kathe nam parents ge kelisbeku aadastu bega idanna,0
@RAM jnh MNR ss,5
Barri dabba movie ne unn maado du,3
ಪಕ್ಕಾ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿ ಸೋ ಅವತಾರ,0
Sir naanu Visakhapatnam li iradhu,0
Yar muje ye movie hindi me dekhni hai,5
real life great sir,0
@Manju Sonu  ಅಭಿನಂದನೆ,0
Bro hindi language pls,5
Ha sanchari vijay waiting to see him,5
ಆವಾಗಾವಾಗ ಈ ಹಾಡು ಕೇಳಲಿಲ್ಲ ಅಂದ್ರೆ ಏನೋ ಮಿಸ್ ಮಾಡಿದಾಹಾಗೆ ಆಗುತ್ತೆnSlow poison,0
Inspired from korean movie Midnight Runners,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
gadag our city,5
Awsome movie must match movie,0
Thanks for likes,5
Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi,0
Yes Nam ura hudgange mosa Madi hodlu ..amele Nam Karnataka kk avmana madidlu avlige yakadru hode ansbeku,2
I hate tiktok mobile thagondagindanu install made illa i hate this,4
Howdu GurunAdre climax papa,0
ಸಿನಿಮಾ ಬಿಡುಗಡೆಗು ಮುನ್ನ ಹಾಡು ಬಿಡುಗಡೆ ಮಾಡೋಕೆ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಇಂದ ಮಾತ್ರ ಸಾಧ್ಯ.  # ಅವನೇ ಶ್ರೀ ಮನ್ನಾ ನಾರಾಯಣ.,0
Dis like hakorge ond math hekok esta padthini nimig esta agilla andre sumne erbod alva yak sumne dislike hakthira ... Ade bere bhashed est kacchada edru like hakthira alva nimmanthor erodrindane Kannada movies ast hesru madtha illa ...,3
Next level quality,5
Le gandunTikamucchunnEe Tara worst song nin kayalli madakke agutta,4
E song ero range ge 3to.5 millone agbekittu,0
ಚಿತ್ರರಂಗದ ಧನಿಕರು ಎಲ್ಲಿದ್ದಿರ. ನಾಲ್ಕು ಜನ ಸೇರಿದರೆ ಸಾಕು,0
ರಶ್ಮಿಕ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಬೆಳವಣಿಗೆ ನೋಡಿ ?,4
kelsa maddidare anna Modiji,0
Chalu ati nataka,0
super togari tippa,5
Previous video dalli sai Kumar diolauge,0
Hands up to vijaya prakash sirr,5
En ಕಮೆಂಟ್ ಗುರು ಎಲ್ ಇರ್ತೀರೋ ನೀವೆಲ್ಲಾ ಸೂಪರ್,0
Hands up - 308k likes nBelageddu - 308k likes,4
Best episode sir,5
Super sir baigla sir,0
Tik tok shata,3
Yakebdre krishnana shapa aduke,0
Hidden detail in  trailer of Avane Srimanarayana....n,0
Elli politics jasti and beliyokke bedalla hotte kirchu padthare,3
All fake bro nija vishaya maatra heli bro ummane janara manasalli sullu nambike yanna huttisa bedi plzzzz,3
ಎಸ್ ಸೂಪರ್ ಸಾಂಗ್,0
ನಮ್ಮ ದೇಶದಲ್ಲಿ ಇದ್ದು ನಮ್ಮ ದೇಶದ ಅನ್ನ ತಿಂದು ಬೇರೆ ದೇಶಕ್ಕೆ ಲಾಭ ಮಾಡ್ತಾ ಇದೀರಾ ನಾಚಿಕೆ ಆಗಬೇಕು ಹಿಂತವರಿಗೆ,0
Dislike kon kiya re m###₹##0d 🤗..,4
Le maraya ninu nijavaglu hero Kano super mama ninna madirodhu video 🥰,0
Super song 🥰🥰,5
Super tippa i like video i love video,5
@Sharath T urkondu sayri sulemakalla 1 year 3 blockbuster BOSS,2
Bro nim editing spr nan nim videos fan e video Dali heliro song matrA spr,0
ಸಾಂಗ್ ಸೂಪರ್ nಮ್ಯೂಸಿಕ್,0
Howdu brother nanu tv nalli nodidde evru elidnella avru elidru,0
ಕೆಜಿಎಫ್  ಒಂದು ದೊಡ್ಡ ಸಾಮ್ರಾಜ್ಯ ಕಟ್ಟಿದೆ nಅವನು ಅದಕ್ಕಿಂತ ದೊಡ್ಡ ಸಾಮ್ರಾಜ್ಯ ಕಟ್ಟುತ್ತಾನೆ ಪಕ್ಕ n,0
Namma manigu banndidda ashwathama,1
ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ASN,0
@Sachin Y S ik pakka avara irtar,0
Prajwal look is different,0
LIKE  1M,5
ಟ್ರೈಲರ್ ತುಂಬ ಚೆನ್ನಾಗಿದೆ ನಿಮ್ಮ ಚಿತ್ರ ಒಳ್ಳೆ ಯಶಸ್ವಿ ಆಗ್ಲಿ,0
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರಾ..........,0
Brazil ಕಂಪನಿ ಬಂದು 4 ವರ್ಷಕ್ಕೆ  ಬಾಗ್ಲು  ಮುಚ್ಚುತು  ಕಾರಣ ಲೋಕಲ್ accountant ಎರಡು ಕೈ ಯಿಂದ ತಿಂದ,0
Super songs bro,0
Vote for kuri prathap,5
ನೀವು 6-5=2 ಸಿನಿಮಾ ವನ್ನು ರಿಯಲ್ ಸ್ಟೋರಿ ಅಂತ ಯಾಕೆ ಸುಳ್ಳು ಹೇಳಿದ್ದು,3
ಕಾಂಗ್ರೇಸ್ನವರು ದೇಶದಲ್ಲಿ ಜಾತಿ,3
Nakkan benki guru,0
First like,5
Heart touching comment nnE kelsa aagbeku !!,0
Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane  est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste,3
Bhimsen Baburao Waghe Bhimsen Waghe,5
@Siddesh Kumar thankyou sir,5
ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಮತ್ತೊಂದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,0
Movie is too good,5
ಅಚ್ಚ ಕನ್ನಡ ಸಾಂಗ್ ಸೂಪರ್,0
Looks like it's a suspense movie,5
D boss fanzzz in Sakaleshpur,0
@Saraswathi.p.k. Baby swathi,5
ಗುರು ನಿಮ್ಗೆ ಡೌಟ,2
No way chance illa  ivaga elli edane proof kodi  nambteevi,3
#Who is here after 17 million n#ಕನ್ನಡ ಸಿನಿಮಾ ಬೆಳೆಯುತ್ತಿದೆ,0
Sakkatt agine   kyakirsi  ugdidira  sir,0
Most liked kannada movie songsn1,5
@ರಕ್ಕಸ ಬೇಟೆಗಾರ u nailed it,5
qdvfs67tr-' 9,5
Adi and dia,5
ಮೊಸರು ನನ್ನ ಮಗನ ಫಸ್ಟ್ ಟ್ರೋಲ್ ಮಾಡಿ ಬ್ರೋ ಮತ್ತೆ ಈ ಟಿಕ್ ಟಾಕ್ ಸೂಳೆಮಕ್ಕಳು ನ ತಿಕಹೊಡಿ ಬ್ರೋ,0
ASN movie na 1st day 1st show nodoru like maadi,0
Thanks you sir,5
@Gaurish Akki Studio  please all over karnatakadalli 150 theater alli re release maadodakke heli diya movie annu,0
Kathe tumba ista aythu..,0
ವಿ ಪಿ ಸರ್...,0
Hands Upn Tamil Nadu,5
Bro super bro amazing speech,5
Rashmika haters like madi,3
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
anna sakatagi matadidya  i like you  anna,0
Gentleman sir nevu,0
Superb song,5
shambhu baligar sir superrrrrrrrrrrrrr,5
I love you,5
Super song and super dance,5
Super lines bro,5
Superrrrrrrr  agi heliya Anna tq u so mach video,0
ಖಂಡಿತ ಮಾಡೋಣ bro,0
ಮೊದಲು ನೀನು ಧರ್ಮದ ಬಾಗೆ ನಿನಗೆಸತು ಗೊತ್ತು ಹೆಲ್ಲು,0
ನನಗೆ ಕಾಣುವ ಒಂದೇ ತಪ್ಪು...... publicity ಮಾಡದೇ ಇದ್ದದ್ದು. ....,1
U missed duniyaa movie,5
One time kelidre average ansatte,0
E video na unlike madoru nijavaglu kannads davaru ala,3
KGF chaffer 2 beda bare baku,0
Innu ide avrige bro super roast,1
ಅಪೊಲೊ ಆಸ್ಪತ್ರೆಗೆ ಸೇರಿಸಿದರೆ ಎಲ್ಲ ಸರಿಹೊಗುತ್ತೆ,0
Nanage ಅನ್ಸುತ್ತೆ ಈ ವೀಡಿಯೋ ವನ್ನು ರಶ್ಮಿಯ ಮಂದಣ್ಣ ಫ್ಯಾನ್ಸ್ deslike ಮಾಡಿರಬಹುದು,0
Karnataka one state but many world,0
@Nandi Parthasarathi nanna shanta samana Bollywood Hollywood sulemagne modlu ninna ಮಾತೃಭಾಷೆ ಬೆಳಸು adu yare hero aagli,2
Song hosa tara feel kodute,0
Prathiyobbara ಜೀವನ Da ಆಸೆಗಳು,0
Kakka is ossm lol,0
ತುಂಬು ಹೃದಯದ ಶುಭಾಶಯಗಳು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಅಭಿಮಾನಿಗಳಿಂದ,0
@Mithun KUDLA andh Dani!,5
Gud job  nim nirdharakke nimma kelasakke Namma gowrava namaskara. kanditha nimge olle role kodo buddi nirdeshakarige  haagu kannda industry ge barabeku...,0
Sorry theaters ge bardiddakke....best movie,0
ನಮ್ d boss ಶಾಟ ಕ್ಕೂ ಸಮ ಇಲ್ಲಾ...ಮಗನೇ... ಅವುನ್ ಮಾಡಿದ ಫಿಲಂ ಅಷ್ಟು ಎಕ್ಸ್ಪೀರಿಯೆನ್ಸ್ ಆಗಿಲ್ಲ ತುಲ್ಲರೆ ಮಾತಾಡ್ತೀಯಾ ಹಾದರಗಿತ್ತಿ ಮಗನೇ....  lo mari evrella one film madi buildup tagotare... ಅವ್ರು ಫಸ್ಟ್ ಫಿಲಂ ಅಲ್ಲೇ ಕ್ರೇಜ್ ಹುಟ್ಟಿ ಹಾಕಿದವರು.... ಅವ್ರು ಫಸ್ಟ್ ಫಿಲಂ (ಮೆಜೆಸ್ಟಿಕ್ )ಫಿಲಂ ರಿಲೀಸ್ ಆದಾಗ.. ನಿನ್ ತುಣ್ಣಿ ಇನ್ನು ಬಲ್ತು  ಇರ್ಲಿಲ್ಲ ಗೂಬೆ ತುಲ್ಲಿಗೆ ಹುಟ್ಟಿದ್ ಬೋಳಿಮಗನೇ ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ,3
@Entertainment Gaming okkk,5
ಚಿತ್ರದ climax ಏ.... ಚಿತ್ರವನ್ನು ಮಂಕಾಗಿಸಿದೆ,3
@Ŕävîñđŕå_02_GøWđřú ನೀ ತುಲ್ಯ,2
Views got struck,5
His a bang bang,5
Anjali Devi hi,5
ತೂಗರಿ ತಿಪ್ಪ ಉತ್ತರ ಕರ್ನಾಟಕ ಜಾನಪದ ಹಾಸ್ಯಮಯವಾದ ಕಥೆ ತುಂಬಾ ಅದ್ಬುತವಾದದ್ದು,0
Swag ka baap Rakshit Shetty..,5
@*V C R* guru edunna modlu bale fansge helu avru start madidare nau end madthivi,0
Sir.nivu superb sir.,0
ನಿಜ ಹೇಳಿದ್ರು ಆದರೆ ಇದರಲ್ಲಿ ಸಬ್ಸ್ಕ್ರೈಬ್ ಇರೋದು ಮೂರು ಲಕ್ಷ  ಆನಂದಾಡಿಯೋದರಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದರೆ ಒಡೆಯ ಸಾಂಗ್ ಮೀರಿಸಿತಿತ್ತು,0
Sar super song,5
ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠,1
E mathu,0
Day ge 600K+ Views nEn haavli Guru,0
@TROLL MONSTER_KANNADA nim Amman kalsu thoristhini,2
signature step is ultimate,5
ಇಲ್ಲಿಂದ ನಿಮ್ಮ ವಿಜಯ ಯಾತ್ರೆ ಪ್ರಜ್ವಲಿಸಲಿ,0
Elru nodle bekadaa video..,0
@citizen408 ok bro,5
Ondu trailer cut madak saryag baralla.trailet nodokke kasta agthide,3
@TROLL MONSTER_KANNADA nim ammange nan hakde tunne nathangi siktale avl na vrdashramkke serstini yakandre ninge nodkollake yogyate illa adukkehogo jumper( chupper),2
So 374 jana rashmika fans music video nodidare illi ವರಗೆ.,0
ವಿಡಿಯೋ ಇದೆಯಾ ತೊಗರಿ ತಿಪ್ಪ,0
ಕೌಶಲ್ಯ ಇದ್ದವರ ಸಂಖ್ಯೆ ಕಡಿಮೆ ಇಲ್ಲ ಸರ್ ತುಂಬಾ ಪ್ರತಿಭಾವಂತರಿದ್ದಾರೆ.... influence ಪವರ್ ತುಂಬಾ ಇದೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ influence ಇಲ್ಲ ಅಂದ್ರೆ ಯಾವನು ಮೂಸಿ ಕೂಡ ನೋಡಲ್ಲ ನಮ್ಮ ದೇಶದಲ್ಲಿ....ಅದಕ್ಕೆ ಕೌಶಲ್ಯ ಇದ್ದೋರಿಗೆ ಕೆಲಸ ಸಿಗ್ತಿಲ್ಲ.....,3
ಕನ್ನಡ ನಾಡಿನ ಕೀರ್ತಿ ಜಗತ್ತಿನೆಲ್ಲೆಡೆ ಹರಡಲಿ ಅಂತ ಬಯಸುತ್ತೇನೆ,0
Thankz bro troll alla bro Roast,0
Nav gottala d boss fans,0
Yes re release madbeku,0
Hands up super song,5
Boring song .....astu power illa....not like KGF,3
@Sweekar Gowdaadyaru badavarige Uta sigtilla ande yallo nAa place n mobile number kalsu nNim mane hatra tane,2
Sakath beats..Matte Matte kelabeku anno song..,0
ಸೂಪರ್ story kannada savira,0
ದಿನಕ್ಕೆ ಹತ್ತು ಗಿಂತ ಎಚ್ಚಗಿ ನೋಡ್ತಾ ಇದೀನಿ ಮಸ್ತ್ ಇದೆ ಬ್ಯಾಗ್ರೌಂಡ್ ಮ್ಯೂಸಿಕ್ ಚಿಂದಿ ಚಿತ್ರಾನ್ನ,0
Mahesh. Sanagoudar. Bhagojikoppa,0
ಆ ನೂರ ಕೋಟಿ ಭಾರತಕ್ಕೆ ಅಲ್ಲ ಇಡಿ ವಿಶ್ವಕ್ಕೆ,0
Waiting for the film.....ನೋಡಲು ಕಾತುರನಾಗಿದ್ದೇನೆ,0
Next leval movie in prajval,5
Super making super cinematography,0
Guru same feeling...,5
Pap pabap pap pabapabapap!nTin ti din tin tiditididinnRead in a flownnADDITCTED,5
guru despande olle director kate na channagi toeisutare,0
@AJITH S SHETTY nanu karthik shetty manglurininda,0
I think Sanskrit?,5
S super chamayya mestre nimma valletana,0
Every day i am listening,0
Appu boss kade enda.    Asn.  Movie ge.  Full support edhe,0
Amazed Amazing Amazefull,0
ಸೂಪರ್ ಕಾಮಿಡಿ ಸ್ಪೀಚ್ ಬ್ರದರ್,0
ಸಿನಿಮಾದಲ್ಲಿ ಐದಾರು ಹಾಡುಗಳು ಇಡುವ ಕಾಲದಲ್ಲಿ  ಈಡಿ ಸಿನಿಮಾದ ಕಥೆ ಒಂದು ಹಾಡಿನಲ್ಲಿ   ಆಡಗಿದೆ ಯಾರೆಲ್ಲ ಆ ಹಾಡಿಗೆ ಕಾಯುತ್ತಿದಿರ?....,0
Super movi yallru nodi tumbba tumbba istavada movi,0
Waiting  ASN,5
India kudda Munde baruthe But late....navella Odmele,0
ಅವಾಗ  ಕಬ್ಜ. ದರ್ಶನ. ಇವ್ರೆಲ್ಲಾ ಬಂದು  ಕೆಡವಕ್ತಾರೆ.,3
12 dislikes by gandu nanmakalu,4
Ta bro your ginias,5
ರಾಜವಂಶದ ಅಭಿಮಾನಿಗಳು ಕಡೆ ಇಂದ all the best ...,0
Tik tok vade gala,5
Le tukali like dislike janakke bittaddu,3
Nyc bro,5
Ayyo guru... Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru.nMahabharata tumba olle moral story. Jeevanakke bekagiro tumba paata ide idralli. Adunella use madkondu olle jeevna madbeku aste.,1
ತುಂಬಾ ಅದ್ಭುತ ಕತೆ,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
Bossu Bgm dance,5
ತೊಗರಿ  ತಿಪ್ಪ  ಸುಪರ್  ಕಾಮಿಡಿ,0
@prithvi nayak ಅದಿಕ್ಕೆ ನಿಮ್ಮ ಲುಚ್ಚಾ ಹೆಂಡ್ತಿ ಮೇಲೆ ಅನುಮಾನ ಪಟ್ಟು ಡೈವರ್ಸ್ ಮಾಡೋಕೆ ಹೋಗಿದ್ದ ಯಾರೋ ಬುದ್ದಿ ಹೇಳಿದರೆ... ಗಂಡರ ಗಂಡ ಜಗ ಮಿಂಡ ನಿಮ್ಮ ಕಾಮಣ್ಣ... ಲುಚ್ಚಾ ಬಳೆಗಾರ,2
@Dhee Pu Lo goobe rama. Artha iro hage enadru helodidre helu. Sumne tirukalandi thara koribeda.... Madu annodu kriyapada anta nanagoo gottu. Adre 'madu' annodara jote ondu namapada irbeku. Agle vakya sampoornavagodu. kelasa mdu,2
ರೀಮೇಕ್ ಮೂವಿ....ಇರ್ಬೇಕು ತಮಿಳ್ ವಿಶಾಲ್ ದು ಅಲ್ವಾ,1
Rashmika Thu..l.l.i irve ankoavro ondu like,2
Kannada super song,0
Jai d boss appu,0
Lo gube don't compare anyone yellaru namma kannada super star,2
@Chandra kanth naa siggappu manithan,5
ಉರ್ಸೋಕೆ ನಿಂತ್ರೆ ಕನ್ನಡದವರು ಚರಿತ್ರೆ ಬರೀತಾರೆ ಅಂತ ಗೊತ್ತಾಗಲಿ.. ಕೆಲವು ಕಿಡಿಗೇಡಿಗಳಿಗೆ..,3
Bro Game yavdu Adu,0
ತುಂಬಾ ಖುಷಿಯಾಯಿತು ಕೇಳಿ,0
@kannadigaru S uh,0
38 M,5
ಸರಿ ಬುಡ್ಲ ಅಣ್ತಮ್ಮ,0
ಸೂಪರ್ ಹಾಡು ಎಲ್ಲ ಕನ್ನಡದ ಅಭಿಮಾನಿಗಳಿಂದ ಸಿನಿಮಾ ತಂಡಕ್ಕೆ ಆಲ್ ದಿ ಬೆಸ್ಟ್,0
Well msg guru,0
Rakshith shetti luck like shankarnag,2
Hindi song bittilva?,0
Super creative kannadiga,0
ಓಳ್ಳೆ ಕಥೆ ಬಹಳ ವರ್ಷ ಆಗಿತ್ತು ಕೇಳಿ,0
Super movie super songs,0
Idhu charitre srushtisuva avataara......,0
ಏನ್ ಸಾಂಗ್ ಗುರು ಮಸ್ತ್...,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,0
Super trailer praju Anna,0
ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ...ಕನ್ನಡದ ಹವಾ ಬಹಳ ಜೋರಾಗಿದೆ ಭಾರತೀಯ ಚಿತ್ರರಂಗದಲ್ಲಿ...ಹೆಮ್ಮೆಯ ವಿಷಯ..ನಮ್ಮೆಲ್ಲರಿಗೂ,0
Hands up🤩n#yuvarathnaa update on December 31stjai #drrajkumar,5
'ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಸಿನಿಮಾ'' ಎಂದು ನಂಬುವವರು ಲೈಕ್ ಮಾಡಿ,0
@Nandi Parthasarathi nandini anta itkondidya nen hengsa🤣🤣nEllelo hogbeda matter bage matado childe....chanagiro film na chanagila antyala adrale gotagute enta kachda nenu anta bereourna aadre belsu ilwa tepug iru..nim appa amma nu bereourna tulkonde bandirbeku adke nenu hinge,2
@Reginald Kelly Kannada da bagge sumne matadidre(includes people too) adu namgu naatutte,1
Hero.heroin very good,5
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟ್ರಿಸಿದ ಅವತಾರ,0
Hands up super song,5
Adu nambike ashte,0
After #marakkar trailer,5
Hlo bro... Even I uninstalled at stupid app...,4
Bindhu gowda ge sariagi madidera,2
Copycat raja rakshith shetty,2
@F M S rakahith is shit man,5
Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept,0
tq super sir,5
Bro yav game,0
ತುಂಬಾ ಒಳ್ಳೆಯ ಹಾಡು,0
Dislikers are not real kannadigas,3
